epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4922.77,0.25353,0.30318,0.89306,0.9966,0.99233,0.995,0.9909,0.13671,0.1196,0.77861,0.000742625,0.000742625,0.000742625
43,5036.33,0.2588,0.3054,0.8951,0.9899,1,0.99486,0.99308,0.13264,0.12442,0.7734,0.00073025,0.00073025,0.00073025
44,5154.09,0.25678,0.29733,0.89559,0.98213,0.99875,0.9949,0.99098,0.13354,0.12514,0.77768,0.000717875,0.000717875,0.000717875
45,5271.21,0.25958,0.30822,0.89752,0.98739,0.98812,0.99481,0.99301,0.14296,0.14564,0.7794,0.0007055,0.0007055,0.0007055
46,5388.99,0.25017,0.29403,0.88979,0.98526,1,0.995,0.99404,0.12955,0.11792,0.77097,0.000693125,0.000693125,0.000693125
47,5506.72,0.25141,0.29114,0.88965,0.99243,0.99103,0.99471,0.99129,0.14291,0.15173,0.77761,0.00068075,0.00068075,0.00068075
48,5624.27,0.25381,0.29279,0.89466,0.98632,0.97087,0.99434,0.9916,0.12986,0.15781,0.77711,0.000668375,0.000668375,0.000668375
49,5743.39,0.24797,0.27784,0.89409,0.99606,0.99099,0.995,0.99336,0.13265,0.12698,0.77619,0.000656,0.000656,0.000656
50,5861.68,0.24769,0.28343,0.89624,0.99298,0.99994,0.99494,0.99129,0.12607,0.11242,0.77494,0.000643625,0.000643625,0.000643625
51,5980.43,0.24419,0.28627,0.89139,0.99372,0.99873,0.9949,0.9933,0.12862,0.12766,0.77197,0.00063125,0.00063125,0.00063125
52,6098.75,0.2442,0.28279,0.88847,0.9967,0.98916,0.995,0.99269,0.12835,0.12052,0.77451,0.000618875,0.000618875,0.000618875
53,6216.17,0.24517,0.25991,0.88945,0.99511,1,0.995,0.99,0.12556,0.10966,0.77424,0.0006065,0.0006065,0.0006065
54,6335.15,0.25181,0.27581,0.89123,0.99067,0.9909,0.99498,0.99325,0.1327,0.12626,0.77418,0.000594125,0.000594125,0.000594125
55,6454.25,0.24139,0.26366,0.89165,0.99159,0.9911,0.99479,0.99383,0.12191,0.11231,0.77017,0.00058175,0.00058175,0.00058175
56,6572.45,0.23891,0.26329,0.89027,0.99064,0.99637,0.995,0.99324,0.12669,0.11084,0.77019,0.000569375,0.000569375,0.000569375
57,6686.14,0.24285,0.26834,0.89178,0.99464,1,0.99473,0.99255,0.12566,0.11662,0.77106,0.000557,0.000557,0.000557
58,6804.26,0.23508,0.26192,0.88272,0.99074,0.99977,0.995,0.99358,0.11921,0.10549,0.76575,0.000544625,0.000544625,0.000544625
59,6922.18,0.24369,0.26101,0.89137,0.99573,0.99975,0.99475,0.99334,0.11797,0.10716,0.76589,0.00053225,0.00053225,0.00053225
60,7040.53,0.23187,0.25059,0.88256,0.97459,0.9974,0.9949,0.99391,0.11379,0.12276,0.76525,0.000519875,0.000519875,0.000519875
61,7154.68,0.2371,0.25959,0.88579,0.995,1,0.99498,0.99379,0.11939,0.10875,0.77122,0.0005075,0.0005075,0.0005075
62,7272.27,0.234,0.25032,0.88785,0.99387,0.98101,0.995,0.99238,0.12197,0.11814,0.77323,0.000495125,0.000495125,0.000495125
63,7390.28,0.23444,0.25449,0.88668,0.99477,1,0.99409,0.993,0.11615,0.10759,0.7669,0.00048275,0.00048275,0.00048275
64,7507.81,0.22654,0.24355,0.88644,0.98948,0.97893,0.98715,0.98636,0.11157,0.1365,0.76597,0.000470375,0.000470375,0.000470375
65,7626.27,0.23204,0.25219,0.88811,0.99424,0.99,0.99428,0.99226,0.11947,0.11301,0.77024,0.000458,0.000458,0.000458
66,7743.7,0.22542,0.24008,0.88364,0.9926,0.99529,0.995,0.99031,0.11838,0.11472,0.76937,0.000445625,0.000445625,0.000445625
67,7862.31,0.2258,0.23488,0.88578,0.99158,0.99959,0.995,0.99311,0.11653,0.101,0.76773,0.00043325,0.00043325,0.00043325
68,7977.01,0.22424,0.23802,0.88223,0.99631,0.99188,0.99448,0.99187,0.11705,0.10471,0.76839,0.000420875,0.000420875,0.000420875
69,8096.7,0.22452,0.24758,0.88214,0.99591,1,0.99486,0.9927,0.11949,0.1038,0.76842,0.0004085,0.0004085,0.0004085
70,8214.86,0.2256,0.24368,0.88346,0.9857,1,0.99446,0.99199,0.1204,0.10258,0.76916,0.000396125,0.000396125,0.000396125
71,8333.41,0.22536,0.23629,0.88504,0.97747,1,0.99456,0.99363,0.11456,0.10479,0.76678,0.00038375,0.00038375,0.00038375
72,8452.08,0.21607,0.2316,0.88389,0.98389,0.98906,0.99423,0.99324,0.1162,0.11012,0.76927,0.000371375,0.000371375,0.000371375
73,8571.17,0.22224,0.22507,0.88539,0.99517,0.9911,0.99494,0.99385,0.10832,0.09672,0.7647,0.000359,0.000359,0.000359
74,8689.95,0.21855,0.22049,0.88636,0.96942,0.98139,0.98329,0.9808,0.10791,0.12537,0.76731,0.000346625,0.000346625,0.000346625
